City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
153,shingu,0,JP,1524870000,72,33.72,135.99,60.8,13.87
154,bredasdorp,92,ZA,1524870000,93,-34.53,20.04,59.0,10.29
155,mehamn,92,NO,1524872383,95,71.03,27.85,30.57,8.63
156,fortuna,0,ES,1524870000,93,38.18,-1.13,62.6,9.17
157,souris,75,CA,1524870000,62,46.36,-62.25,59.0,3.36
158,palia kalan,92,IN,1524872385,67,28.45,80.58,75.4,3.94
159,kaitangata,92,NZ,1524872385,99,-46.28,169.85,48.75,15.23
160,toora-khem,12,RU,1524872385,79,52.47,96.11,29.5,1.14
161,baherden,20,TM,1524872386,60,38.44,57.43,55.15,5.17
162,cap malheureux,40,MU,1524870000,73,-19.98,57.61,75.2,1.12
163,tommot,76,RU,1524872386,82,58.97,126.27,36.6,8.86
164,acapulco,5,MX,1524869220,78,16.86,-99.88,82.4,8.05
165,ovca,0,RS,1524870000,71,44.89,20.54,57.2,4.7
166,cascais,20,PT,1524870000,81,38.7,-9.42,53.6,3.36
167,morgan city,20,US,1524869760,49,29.7,-91.21,73.4,8.05
168,te anau,92,NZ,1524872386,100,-45.41,167.72,43.45,10.09
169,campos do jordao,40,BR,1524870000,83,-22.74,-45.59,75.2,2.24
170,souillac,40,FR,1524870000,81,45.6,-0.6,48.2,6.93
171,viedma,0,AR,1524872387,41,-40.81,-62.99,48.67,8.63
172,ilulissat,80,GL,1524869400,64,69.22,-51.1,35.6,9.17
173,porto novo,20,BR,1524870000,83,-23.68,-45.44,69.8,9.17
174,katsuura,20,JP,1524870000,76,33.93,134.5,57.2,10.29
175,mount gambier,12,AU,1524872387,82,-37.83,140.78,55.87,3.27
176,lahaina,90,US,1524869760,94,20.87,-156.68,75.2,8.05
177,danielskuil,76,ZA,1524872393,47,-28.19,23.54,59.47,7.85
178,leningradskiy,88,RU,1524872393,100,69.38,178.42,24.19,17.36
179,mezen,92,RU,1524872394,99,65.85,44.24,33.19,4.38
180,damietta,0,EG,1524866400,68,31.42,31.81,69.8,6.93
181,chirongui,0,YT,1524870000,83,-12.93,45.15,78.8,4.7
182,sept-iles,90,CA,1524870000,81,50.2,-66.38,42.8,4.7
183,pevek,68,RU,1524872394,100,69.7,170.27,19.15,5.73
184,torrington,1,US,1524869580,16,42.06,-104.18,75.2,8.05
185,chumikan,0,RU,1524872394,51,54.72,135.31,40.39,6.17
186,marzuq,12,YE,1524872394,91,14.4,46.47,59.65,2.37
187,klaksvik,20,FO,1524869400,100,62.23,-6.59,35.6,6.93
188,caravelas,0,BR,1524866400,83,-17.73,-39.27,77.0,11.41
189,kobelyaky,8,UA,1524872395,93,49.15,34.2,48.67,7.63
190,sola,0,FI,1524869400,82,62.78,29.36,32.0,2.59
191,mogadishu,80,SO,1524872395,100,2.04,45.34,79.99,11.54
192,marathon,8,CA,1524872395,63,48.72,-86.38,36.7,12.55
193,ixtapa,5,MX,1524869160,74,20.71,-105.21,80.6,10.29
194,neuquen,0,AR,1524870000,33,-38.95,-68.06,57.2,8.05
195,nagato,0,JP,1524870000,72,34.35,131.14,59.0,3.36
196,sabak,75,MY,1524870000,94,3.77,100.99,77.0,5.84
197,hami,92,CN,1524872396,44,42.84,93.51,60.82,7.96
198,chokurdakh,12,RU,1524872396,100,70.62,147.9,11.14,6.96
199,lodwar,64,KE,1524872357,95,3.12,35.6,72.97,3.38
200,puerto ayora,20,EC,1524870000,74,-0.74,-90.35,80.6,8.05
201,kavaratti,56,IN,1524872397,100,10.57,72.64,86.1,13.0
202,cam ranh,68,VN,1524872397,100,11.92,109.15,77.1,6.06
203,luan,0,CH,1524869400,54,46.36,6.98,62.6,2.24
204,east london,0,ZA,1524872222,100,-33.02,27.91,73.5,16.13
205,auchi,48,NG,1524872397,86,7.07,6.27,76.39,6.06
206,khasan,36,RU,1524872397,65,42.43,130.64,50.82,2.37
207,skjervoy,92,NO,1524872397,100,70.03,20.97,34.0,12.55
208,wellington,92,NZ,1524870000,67,-41.29,174.78,62.6,2.24
209,college,75,US,1524869880,31,64.86,-147.8,46.4,4.7
210,arraial do cabo,0,BR,1524870000,88,-22.97,-42.02,73.4,2.24
211,charyshskoye,88,RU,1524872398,60,51.4,83.56,46.6,13.33
212,novyy urengoy,48,RU,1524872398,86,66.08,76.63,28.6,13.56
213,itarema,24,BR,1524872398,92,-2.92,-39.92,77.82,8.75
214,cochrane,8,CL,1524872398,99,-47.25,-72.57,30.4,3.71
215,kurchum,68,KZ,1524872399,71,48.57,83.65,41.47,9.19
216,glace bay,75,CA,1524870000,66,46.2,-59.96,55.4,6.93
217,doha,0,QA,1524870000,57,25.29,51.53,80.6,4.7
218,ribas do rio pardo,68,BR,1524872399,51,-20.45,-53.76,79.17,4.72
219,labuhan,12,ID,1524872399,91,-2.54,115.51,77.92,2.71
220,ocampo,24,PH,1524872399,95,13.56,123.37,81.6,5.17
221,komsomolskiy,0,RU,1524872399,80,67.55,63.78,28.15,9.75
222,acajutla,40,SV,1524869400,70,13.59,-89.83,87.8,5.82
223,sao filipe,32,CV,1524872400,98,14.9,-24.5,71.17,15.01
224,novokayakent,48,RU,1524870000,87,42.39,47.99,51.8,4.47
